边城	The Border Town
第一章	CHAPTER ONE
由四川过湖南去，靠东有一条官路。	An old imperial highway running east from Sichuan into Hunan province leads, after reaching the West Hunan border, to a little mountain town called Chadong.
这官路将近湘西边境到了一个地方名为「茶峒」的小山城时，有一小溪，溪边有座白色小塔，塔下住了一户单独的人家。这人家只一个老人，一个女孩子，一只黄狗。	By a narrow stream on the way to town was a little white pagoda, below which once lived a solitary family: an old man, a girl, and a yellow dog.
小溪流下去，绕山岨流，约三里便汇入茶峒的大河。	As the stream meandered on, it wrapped around a low mountain, joining a wide river at Chadong some three li downstream, about a mile.
人若过溪越小山走去，则只一里路就到了茶峒城边。	If you crossed the little stream and went up over the heights, you could get to Chadong in one li over dry land.
溪流如弓背，山路如弓弦，故远近有了小小差异。	The water path was bent like a bow, with the mountain path the bowstring, so the land distance was a little shorter.
小溪宽约二十丈，河床为大片石头作成。	The stream was about twenty zhang wide  two hundred feet  over a streambed of boulders.
静静的水即或深到一篙不能落底，却依然清澈透明，河中游鱼来去皆可以计数。	Though the quietly flowing waters were too deep for a boat pole to touch bottom, they were so clear you could count the fish swimming to and fro.
小溪既为川湘来往孔道，水常有涨落，限于财力不能搭桥，就安排了一只方头渡船。	This little stream was a major chokepoint for transit between Sichuan and Hunan, but there was never enough money to build a bridge.
这渡船一次连人带马，约可以载二十位搭客过河，人数多时则反复来去。	Instead the locals set up a square-nosed ferryboat that could carry about twenty passengers and their loads.
渡船头竖了一枝小小竹竿，挂着一个可以活动的铁环，溪岸两端水槽牵了一段废缆，有人过渡时，把铁环挂在废缆上，船上人就引手攀缘那条缆索，慢慢的牵船过对岸去。	Any more than that, and the boat went back for another trip.  Hitched to a little upright bamboo pole in the prow was a movable iron ring that went around a heavily worn cable spanning the stream all the way to the other side.  To ferry across, one slowly tugged on that cable, hand over fist, with the iron ring keeping the boat on track.
